,Products,Prices,Ratings,oprices
0,Lenovo ThinkPad E15 Core i3 11th Gen - (4 GB/256 GB SSD/DOS) E15 Laptop,"₹39,990",4.5,
1,Lenovo ThinkPad E15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) E15 Laptop,"₹87,990",4.2,
2,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0011AU Thin and Light Laptop,"₹36,046",4.2,
3,Lenovo Ideapad S145 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,"₹33,990",3.9,
4,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹49,990",4.2,
5,HP 14s Ryzen 3 Quad Core 4300U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0016AU Thin and Light Laptop,"₹39,490",4.4,
6,acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹49,990",4.4,
7,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹40,999",4.4,
8,DELL Inspiron 3501 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,"₹54,856",4.4,
9,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,"₹49,990",4.4,
10,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14IIL05 Thin and Light Laptop,"₹36,990",4.5,
11,HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0500AU Thin and Light Laptop,"₹46,990",4.4,
12,HP 15s Ryzen 3 Quad Core 4300U - (8 GB/256 GB SSD/Windows 10 Home) 15s-ey1003AU Thin and Light Laptop,"₹37,990",4.6,
13,Lenovo ThinkPad E15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) E15 Laptop,"₹44,990",5,
14,acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹53,990",4.4,
15,ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ322TS Thin and Light Lapt...,"₹37,990",4.1,
16,DELL Inspiron 3505 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) Inspiron 3505 Laptop,"₹34,169",4.3,
17,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,"₹45,990",4.3,
18,DELL Inspiron Core i3 11th Gen - (4 GB/512 GB SSD/Windows 10) Inspiron 3501 Notebook,"₹41,749",4.4,
19,HP 15s Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15s-du3060TX Thin and Light La...,"₹63,800",3.8,
20,APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹92,900",4.7,
21,ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop,"₹21,990",3.9,
22,Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop,"₹46,999",4.3,
23,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-bb0075TU Thin and Light Laptop,"₹65,990",4.4,
